,Inv Item,Labels,Text
38,ARC-191951,Pump - Water,CATERPILLAR PUMP WATER G3306 OEM REBUILT CATERPILLAR 0R0999
39,ARC-192066,Head,CATERPILLAR HEAD CYLINDER ENGINE G3306 TALL VALVE OEM REBUILT CATERPILLAR 0R4562
40,ARC-226631,Alternator,D&F BATTERY AND ELECTRIC INC ALTERNATOR BRUSHLESS 24V BRACKET MOUNT
41,ARC-202268,Exhaust - Manifold,CATERPILLAR MANIFOLD EXHAUST REBUILT
42,ARC-217089,Head,CUMMINS HEAD CYLINDER ENGINE CUMMINS K19/38 OEM REBUILT CUMMINS 3646329NX
43,ARC-189588,Filter - Air,BALDWIN FILTER ELEMENT OUTER 5.813 ID 10.969 OD 13.375 LG BALDWIN RS3504
44,ARC-215817,Compressor Valve - Suction,ARIEL CORP. VALVE COMPRESSOR CYLINDER SUCTION MTX PLATES 79CRE ARIEL CORP. B6058CC
45,ARC-192065,Head,CATERPILLAR HEAD CYLINDER ENGINE G3306 OEM REBUILT CATERPILLAR 0R4561
46,ARC-218767,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD DISCHARGE PCX PLATES 79CRE ARIEL CORP. KB6059NN
47,ARC-215012,Sensor - Engine - Exhaust,MURPHY SENSOR TEMPERATURE FOR EXHAUST GAS EICS MURPHY 10051368
48,ARC-244181,Annunciator,MURPHY ANNUNCIATOR DIGITAL FAULT 48 POINT CSA CERTIFIED CLASS I DIV. 1 & 2 GROUP B C & D  DISPLAY HEAD ONLY MODEL TTD-H MURPHY 50700597
49,ARC-243373,Valve - Dump,MURPHY OPERATOR DUMP VALVE MODEL DVO ASSEMBLY FOR LS200 MURPHY 15010267 MURPHY 15010267
50,ARC-197107,Radiator,CATERPILLAR RADIATOR ENGINE F/3304/3306 MODEL NO: F/3304/3306 CATERPILLAR 4L2114
51,ARC-206189,Sparkplug,DENSO SPARKPLUG M18 X 1.5MM THD 0.3MM GAP IRIDIUM DENSO GI33
52,ARC-248468,Alternator,LEECE NEVILLE ALTERNATOR 40A 24V
53,ARC-167543,Valve - Solenoid,ASCO VALVE  INC VALVE SOLENOID 1 1-5/8 ORIFICE FNPT 2-WAY NORMALLY CLOSED 24VDC CLASS F
54,ARC-169678,Telematics,ENBASE UNIT TELEMATICS
55,ARC-192068,Head,CATERPILLAR HEAD CYLINDER ENGINE G3306 TALL VALVE REBUILT CATERPILLAR 0R4562
56,ARC-215818,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE PCX PLATES 79CRE ARIEL CORP. B6059NN
57,ARC-212739,Packing Kit,GEMINI KIT REPAIR M & H FRAMES PACKING 1.125 ROD DIAMETER GEMINI 1105621
58,ARC-191983,Head,CATERPILLAR HEAD CYLINDER ENGINE G379/G398/G399 REBUILT CATERPILLAR 0R2670
59,ARC-192025,Oil Cooler,CATERPILLAR COOLER FIN FAN HEAT EXCHANGER G3304 G3306 OEM REBUILT CATERPILLAR 0R3501
60,ARC-214023,Engine Control Module,MURPHY CONTROL ENGINE ELECTRONIC MONITORING EICS AUX PANEL WITH DISPLAY KIT AND MANUAL OVERRIDE SWITCHES MURPHY 48700021
61,ARC-227296,Telematics,ENBASE BOARD PRINTED CIRCUIT EXPANSION INPUT/OUTPUT
62,ARC-176564,Ignition - Mag,ALTRONIC MAGNETO ALTRONIC V 6-OUTPUT HORIZONTAL FLANGE MOUNT 1 SLOT REBUILT ALTRONIC 6A34A
63,ARC-268299,Head,CATERPILLAR HEAD CYLINDER ENGINE G3408 OEM REBUILT CATERPILLAR 20R6778
64,ARC-193256,Radiator,CATERPILLAR RADIATOR ENGINE 3306 MODEL NO: 3306 CATERPILLAR 1339673
65,ARC-168946,Turbocharger,CECO TURBOCHARGER KTA19 CECO 4955221
66,ARC-268734,Engine Control Module,MURPHY HARNESS WIRE IGNITION MAIN ENGINE CAT 3306
67,ARC-218766,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD SUCTION MTX PLATES 79CRE ARIEL CORP. KB6058CC
68,ARC-217156,Seal - Misc,IPD SEAL INTEGRAL IPD 1331247
69,ARC-205981,Starter,AC DELCO STARTER ELECTRIC 24VDC 42MT 12 TOOTH AC DELCO 42MT24V12T
70,ARC-213584,Engine Control Module,MURPHY CONTROL ENGINE ELECTRONIC MONITORING G3306TA G3306TA/G3306B BASE  EICS MURPHY 48700010
71,ARC-181317,Connecting Rod - Compressor,ARIEL CORP. ROD CONNECTING JGA ARIEL CORP. AD1043
72,ARC-225209,Ignition - Coil,MURPHY WIRE ELECTRIC COIL MURPHY 00032331
73,ARC-189199,Filter - Oil,BALDWIN FILTER ELEMENT DUAL 4.656 OD 11.406 LG 2.25 BALDWIN BD103
74,ARC-193715,Engine Control Module,CATERPILLAR CONTROL ENGINE MANAGEMENT CEC CATERPILLAR 1636164
75,ARC-246068,Filter - Coalescer,PECO FILTER ELEMENT COALESCER 4.5 OD 12 LG PECO NGGC312PL01
76,ARC-243870,Controller - Liquid Level,MURPHY SWITCH LIQUID LEVEL ELECTRIC 2 MNPT 304 SS FLOAT 125/480VAC 5A SPDT FLOAT LS200
77,ARC-217213,Transmitter - Pressure,MURPHY TRANSMITTER PRESSURE 1/4 FNPT 1/4 MNPT CONDUIT 0-2000 PSI 316L SS HOUSING 316L SS WETTED 4-20MA 8-30VDC EXPLOSION PROOF
78,ARC-234112,Packing Kit,GEMINI PACKING PRESSURE RING ASSEMBLY COMPRESSOR GEMINI 425160
79,ARC-234019,Crankshaft - Compressor,GEMINI CRANKSHAFT COMPRESSOR GEMINI 4212394
80,ARC-195942,Regulator - Pressure,CATERPILLAR REGULATOR PRESSURE REDUCING 1-1/4 FNPT 9/16 DIA FUEL GAS DIRECT OPERATION OUTLET PRESSURE 4-8 IN WC CATERPILLAR 2W6022
81,ARC-225420,No Flow,CPI SWITCH NO FLOW PROFLO JR A-TEX TRABON MAGNET ASSEMBLY 300 VDC/120 VAC AT 0.5 AMPS CLASS I DIV. 2 GROUPS A B C D CPI 6500400000PFJRT
82,ARC-217684,Ignition - Coil,MURPHY COIL IGNITION MURPHY 72700230
83,ARC-244110,Switch Gauge,MURPHY SWITCHGAUGE TEMPERATURE 1/2 NPT 100-500 DEG F/40-260 DEG C SAND CAST ALUM CASE 304 SS BULB DIRECT MOUNT DOUBLE TEMP SCALE MURPHY SDB500
84,ARC-176695,Ignition - Mag,ALTRONIC MAGNETO ALTRONIC III VERTICAL FLANGE MOUNT 1 SLOT REBUILT ALTRONIC 8T25HA
85,ARC-268498,Gasket - Flange,EMIT TECHNOLOGIES GASKET FLANGE FLAT FACE 10 DIA 150 CLASS 1/16 THK METAL REINFORCED FIBER
86,ARC-233435,Connecting Rod - Compressor,GEMINI ROD CONNECTING GEMINI 405220
87,ARC-270225,Telematics,ENBASE UNIT TELEMATICS ENBASE RTU1003LTEV
88,ARC-244193,Switch Gauge,MURPHY SWITCH VIBRATION SPDT DOUBLE MAKE LEAF CONTACTS 3/10A AT 240/120 VAC 10A AT 32 VDC SLOTTED SENSITIVITY ADJUSTMENT MAGNETIC LATCH MANUAL RESET 1/2 IN CONDUIT THREADS FOR NON-HAZARDOUS LOCATIONS IP54 MODEL VS2 MURPHY 20700042
89,ARC-268890,Telematics,ENBASE COMPUTER HARDWARE TELEMATICS ENBASE ARCH1003EVSIACTKT
90,ARC-217214,Transmitter - Pressure,MURPHY TRANSMITTER PRESSURE 1/4 FNPT 1/4 MNPT CONDUIT 0-1000 PSI 316L SS HOUSING 316L SS WETTED 4-20MA 8-30VDC EXPLOSION PROOF
91,ARC-233963,Cover - Compressor - Front,GEMINI COVER  HPDD COMPRESSOR HELICAL GEMINI 4094166
92,ARC-243881,Valve - Fuel Shut Off,MURPHY VALVE FUEL SHUT-OFF 1 FNPT X 1/4 FNPT 80 PSI SAND CAST ALUM BUNA-N SEAT W/BLOCK AND VENT PNEUMATIC OPERATION: SEMI-AUTOMATIC AND AUTOMATIC MAXIMUM CONTROL PRESSURE= 75 PSIG MURPHY M2582P
93,ARC-169971,Battery 12V - Wet,CONTINENTAL BATTERIES BATTERY WET CELL STARTING MARINE BCI 27 12 VDC 1000 CA/800 CCA LEAD ACID POST/STUD
94,ARC-234076,Crosshead,GEMINI CROSSHEAD MPD GEMINI 425092
95,ARC-169864,Engine Control Module,ALTRONIC KIT POWER MANAGEMENT MODULE
96,ARC-217314,Transmitter - Pressure,MURPHY TRANSMITTER PRESSURE 1/4 FNPT 0-200 PSI 316 SS HOUSING 316 SS WETTED 4-20MA 24VDC MURPHY 05707736
97,ARC-168245,Crankshaft - Compressor,ARIEL CORP. CRANKSHAFT COMPRESSOR 2-THROW FORGED STL JGA JGQ:P CRATED ARIEL CORP. AD1972C
98,ARC-183912,Packing Kit,ARIEL CORP. KIT PACKING PISTON ROD
99,ARC-178880,No Flow,ARIEL CORP. SWITCH DIGITAL NO-FLOW TIMER ARIEL CORP. A10754
100,ARC-217134,Gasket - Engine - Head,IPD KIT GASKET HEAD G3306 IPD 1920478
101,ARC-222563,Throttle,MURPHY THROTTLE EAR99 SCHEDULE B 8409914000 BODY 76 MM BOSCH DV-E5-C MURPHY E1312500
102,ARC-238771,Actuator,JOHNSON CONTROLS ACTUATOR
103,ARC-188389,Head,ARROW ENGINE HEAD CYLINDER ENGINE VRG330 REBUILT ARROW ENGINE CA217102
104,ARC-215049,Engine Control Module,MURPHY HARNESS WIRE CONTROL G3304NA/G3306NA/G3306TA MAIN ENGINE EICS
105,ARC-171417,Head,AFTERMARKET HEAD CYLINDER ENGINE G3306 SHORT VALVE REBUILT AFTERMARKET 0R4566
106,ARC-215109,Engine Control Module,MURPHY CONTROL ENGINE EMISSIONS CONTROL ECM 6-CYL ENGINE G3306TA ECM EICS MURPHY 48700018
107,ARC-270274,Engine Control Module,MURPHY HARNESS WIRING ELECTRICAL 3306 CAT EICS MURPHY E2484600
108,ARC-243608,Engine Control Module,MURPHY MODULE INPUT/OUTPUT MURPHY 50701982
109,ARC-187747,Adapter - Misc,ARROW ENGINE ADAPTER
110,ARC-215021,Throttle,MURPHY THROTTLE 60MM BOSCH DV-E5 EICS MURPHY E1312300
111,ARC-176582,Ignition - Mag,ALTRONIC MAGNETO ALTRONIC III 6-OUTPUT VERTICAL FLANGE MOUNT 1 SLOT REBUILT ALTRONIC 6A39HA
112,ARC-268735,Engine Control Module,MURPHY HARNESS WIRE JUMPER 10' LG CAT 3306 MURPHY E2484061
113,ARC-219481,Engine Control Module,MURPHY CONTROL ENGINE ELECTRONIC MONITORING 6-CYL ENGINE G3406TA G3406TA BASE  EICS KIT MURPHY 48700037
114,ARC-169504,Alternator,D&F BATTERY AND ELECTRIC INC ALTERNATOR BRUSHLESS 24V
115,ARC-189586,Filter - Air,BALDWIN FILTER ELEMENT OUTER 4.625 ID 9.156 OD 12.5 LG AIR BALDWIN RS3502
116,ARC-238481,Gasket - Engine - Valve Cover,IPD GASKET VALVE COVER G3306 IPD 8S1605
117,ARC-234021,Crankshaft - Compressor,GEMINI CRANKSHAFT COMPRESSOR FORGED STL H SERIES GEMINI 4212400
118,ARC-171966,Packing Kit,AFTERMARKET KIT REPAIR VALVE PACKING AFTERMARKET 425160K
119,ARC-203097,Sparkplug,CHAMPION SPARK PLUG SPARKPLUG 540 CHAMPION SPARK PLUG RTN79G
120,ARC-268319,Head,CATERPILLAR HEAD CYLINDER ENGINE G3408 OEM REBUILT CATERPILLAR 20R6777
121,ARC-191985,Head,CATERPILLAR HEAD CYLINDER ENGINE G379/G398/G399 OEM REBUILT CATERPILLAR 0R2670
122,ARC-233643,Crosshead,GEMINI CROSSHEAD HPD GEMINI 4061577
123,ARC-217974,Head,CUMMINS HEAD CYLINDER ENGINE KTA19GC-SLB ENGINE REBUILT CUMMINS 3646328NX
124,ARC-192071,Head,CATERPILLAR HEAD CYLINDER ENGINE G3306 SHORT VALVE REBUILT CATERPILLAR 0R4566
125,ARC-200972,Valve - Misc,CATERPILLAR COIL VALVE CATERPILLAR 7X1678
126,ARC-244179,Annunciator,MURPHY ANNUNCIATOR DIGITAL FAULT 48 POINT 10-32VDC OR 90-400V
127,ARC-184687,Pump - Oil,ARIEL CORP. PUMP OIL JG:P:M:I:A/2 ARIEL CORP. C0084
128,ARC-192375,Exhaust - Manifold,CATERPILLAR MANIFOLD G3306 CATERPILLAR 1018957
129,ARC-241948,Valve - Relief,MERCER VALVE VALVE RELIEF CONVENTIONAL SPRING DESIGN 500 PSI SET 1/2 ORIFICE 1 MNPT X 1 FNPT SS BODY 15% GLASS FILLED TEFLON SEAT SS DISC SS NOZZLE VITON/BUNA-N SEAL -20 TO 400 DEG F CLOSED CAP ASME SECTION VIII - DIV 1 MERCER VALVE 8117151T11G11
130,ARC-237958,Battery 12V - Wet,INTERSTATE BATTERIES BATTERY WET CELL 12VDC THREADED TOP POST INTERSTATE BATTERIES SRM24
131,ARC-235599,Scrubber Seperator,EXTERRAN SEPARATOR 24 2 IN NPT IN/OUT (1) 24 IN ELEM HCN NUMBER 453500090 EXTERRAN 453500090
132,ARC-247014,Exhaust - Misc,POWERTHERM BELLOWS EXHAUST 5 DIA 5 CAT FLANGE 5 ASA FLANGE OPPOSITE END OUTLET CS FLANGES 18 LG SS BODY ASSEMBLY POWERTHERM SK107941
133,ARC-243837,Controller - Liquid Level,MURPHY CONTROLLER LIQUID LEVEL SNAP ACTING 2 MNPT 2000 PSI PNEUMATIC OPERATED NICKEL PLTD STL BODY
134,ARC-189589,Filter - Air,BALDWIN FILTER ELEMENT INNER 4.125 ID 5.875 OD 12.625 LG BALDWIN RS3505
135,ARC-189530,Filter - Air,BALDWIN FILTER ELEMENT AIR 6.063 ID 10.219 OD 12 LG BALDWIN PA618S
136,ARC-226864,Piston - Engine,CUMMINS PISTON ENGINE STL KTA19
137,ARC-230444,Filter - Oil,FLEETGUARD FILTER ELEMENT OIL 4.68 OD 11.791 LG 2.25 FLEETGUARD LF3000
138,ARC-189268,Filter - Oil,BALDWIN FILTER ELEMENT OIL BALDWIN BT251
139,ARC-195196,Wire - Sparkplug,CATERPILLAR WIRE ELECTRIC SPARKPLUG
140,ARC-215819,Compressor Valve - Suction,ARIEL CORP. VALVE COMPRESSOR CYLINDER SUCTION MTX PLATES 79CRE ARIEL CORP. B5730DD
141,ARC-251161,Fluid Analysis Sample Kit,CORTEC CORP. FLUID CORROSION INHIBITOR LUBRICATING HYDRAULIC & PRESERVATION OILS CORTEC CORP. VPCI 329
142,ARC-192033,Alternator,CATERPILLAR ALTERNATOR 35A 24V OEM REBUILT CATERPILLAR 0R3653
143,ARC-187664,Radiator,ARROW ENGINE RADIATOR ENGINE CORE ARROW ENGINE 208771C
144,ARC-218771,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD SUCTION MTX PLATES 52RX ARIEL CORP. KB3491DD
145,ARC-171418,Head,CATERPILLAR HEAD CYLINDER ENGINE G3304 TALL VALVE REBUILT CATERPILLAR 0R9487
146,ARC-216131,Pump - Lubricator,ARIEL CORP. PUMP LUBRICATOR 1/4 NPT INLET 1/4 NPT OUTLET ARIEL CORP. A18526A
147,ARC-243880,Valve - Fuel Shut Off,MURPHY VALVE FUEL SHUT-OFF 1 FNPT X 1/4 FNPT 80 PSI SAND CAST ALUM BUNA-N SEAT W/BLOCK AND VENT ENERGIZE TO CLOSE MANUAL OPEN TWO SPDT SWITCHES CD IGNITION POWERED COIL CSA APPROVED MURPHY M2582C
148,ARC-218768,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD SUCTION MTX PLATES 79CRE ARIEL CORP. KB5730DD
149,ARC-184670,Piston - Compressor - Rod,ARIEL CORP. ROD PISTON 20.305 LG 3 STROKE ARIEL CORP. C0028
150,ARC-193216,Gasket - Engine - Valve Cover,CATERPILLAR GASKET COVER VALVE RBR G3306 CATERPILLAR 1331247
151,ARC-176185,Ignition - Mag,ALTRONIC MAGNETO ALTRONIC V 4-OUTPUT FLANGE MOUNT 1 SLOT REBUILT ALTRONIC 4A34A
152,ARC-269557,Valve - Fuel,CATERPILLAR VALVE FUEL CATERPILLAR 5388794
153,ARC-237176,Starter,INGERSOLL RAND (AIR MOTORS) STARTER PNEUMATIC 12 TOOTH REBUILT INGERSOLL RAND (AIR MOTORS) 150BMGE22RH5R
154,ARC-187635,Gasket - Engine - Valve Cover,ARROW ENGINE GASKET COVER VALVE ARROW ENGINE 208615
155,ARC-203073,Sparkplug,CHAMPION SPARK PLUG SPARKPLUG 322 CHAMPION SPARK PLUG RN11YC4
156,ARC-213588,Engine Control Module,MURPHY CONTROL ENGINE ELECTRONIC MONITORING G3306NA EICS MURPHY 48700011
157,ARC-168426,Battery 12V - Glass Mat,NONE BATTERY ABSORBED GLASS MAT BCI 24 12VDC 84 AH POST/STUD 24AGM
158,ARC-270181,Telematics,ENBASE COMPUTER HARDWARE TELEMATICS ENBASE ARCH1003LTEVSIACTKT
159,ARC-223638,Sensor - Engine,MURPHY SENSOR SPEED ALUM EICS APPLICATIONS MURPHY E2470000
160,ARC-219048,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE PCX PLATES 79CRE ARIEL CORP. B6059PP
161,ARC-233964,Cover - Compressor - Front,GEMINI COVER FRONT REBUILT GEMINI 4094166
162,ARC-168672,Engine Control Module,MURPHY CONTROL ENGINE EMISSIONS CONTROL ECM 6-CYL ENGINE G3306B TA MURPHY 48700039
163,ARC-216571,Transmitter - Pressure,MURPHY TRANSMITTER PRESSURE 1/4 FNPT 1/2 MNPT CONDUIT 0-600 PSI 316L SS HOUSING 316L SS WETTED 4-20MA 8-30VDC EXPLOSION PROOF MODEL NUMBER PXTK600 MURPHY 05707739
164,ARC-176554,Ignition - Mag,ALTRONIC MAGNETO ALTRONIC III 6-OUTPUT REBUILT ALTRONIC 6A29HAO
165,ARC-169921,Catalyst Element,DCL CONVERTER CATALYTIC 3-WAY 5 150 LB SS TUBE AND CONE CS FLANGES RND MODEL DC48-5 HI LOAD Y COAT EICS MINE-X DCL C3162LQ010Y014301
166,ARC-176150,Ignition - Mag,ALTRONIC MAGNETO ALTRONIC V 3-OUTPUT REBUILT ALTRONIC 3A64AW
167,ARC-189484,Filter - Air,BALDWIN FILTER ELEMENT INNER 0.938 ID 8.625 OD CUMMINS QSK 19 CUMMINS MODEL NO: QSK 19 AIR BALDWIN PA2574
168,ARC-227364,Valve - Control,KIMRAY VALVE CONTROL THRU BODY DI BODY 1 FNPT
169,ARC-188395,Pump - Water,ARROW ENGINE PUMP WATER VRG330 ARROW ENGINE D216160C
170,ARC-249863,Sparkplug,STITT SPARKPLUG 28 STITT SR1072
171,ARC-181412,Connecting Rod - Compressor - Bearing,ARIEL CORP. BEARING SLEEVE CONNECTING ROD HALF H/S COMPRESSOR MODEL NO JG/M/P/S ARIEL CORP. B0023
172,ARC-192691,Thermostat,CATERPILLAR THERMOSTAT ENGINE G3304/G3306 CATERPILLAR 1118010
173,ARC-192256,Head,CATERPILLAR HEAD CYLINDER ENGINE G3304 TALL VALVE REBUILT CATERPILLAR 0R9849
174,ARC-224281,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD PCX PLATES 79CRE ARIEL CORP. KB6059PP
175,ARC-226813,Engine Control Module,MURPHY MODULE ENGINE EICS KTA19GC EICS MURPHY 48700042
176,ARC-228860,Regulator - Pressure,FISHER REGULATOR PRESSURE 1 NPT 90-150 PSI
177,ARC-212620,Controller - Liquid Level,MURPHY SWITCH LIQUID LEVEL ELECTRIC 2 MNPT 304 SS DISPLACER 30VAC 0.075A SPDT REED SWITCH 2000 PSI -20 TO 300 DEG F 304 SS BODY FLOAT STYLE MLS-020 MURPHY 15700839
178,ARC-192123,Turbocharger,CATERPILLAR TURBOCHARGER G3306 OEM REBUILT CATERPILLAR 0R5813
179,ARC-201454,Head,CATERPILLAR HEAD CYLINDER ENGINE G342 SPACER PLATE REBUILT CATERPILLAR 8N6001
180,ARC-181413,Bearing - Compressor - Main,ARIEL CORP. BEARING SLEEVE MAIN HALF
181,ARC-270167,Radiator,NONE RADIATOR ENGINE 3306 RAD3306HD
182,ARC-175421,Valve - Check,COOPER-AJAX VALVE CHECK FOR LEAN BURN ENGINE COOPER-AJAX YK8339
183,ARC-227295,Telematics,ENBASE UNIT TELEMATICS ENBASE RTU1003G
184,ARC-200776,Wire - Sparkplug,CATERPILLAR WIRE ELECTRIC SPARKPLUG
185,ARC-168301,Gasket - Engine - Head,CUMMINS GASKET HEAD KIT
186,ARC-181406,Packing Kit,ARIEL CORP. KIT PACKING 1.125 PISTON ROD ARIEL CORP. B0020BK
187,ARC-187079,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD DISCHARGE PEEK PLATES 52RX ARIEL CORP. KB3492N
188,ARC-214334,Sparkplug,CHAMPION SPARK PLUG SPARKPLUG J GAP IRIDIUM
189,ARC-226830,Engine Control Module,MURPHY HARNESS WIRE EICS CUMMINS KTA19 MURPHY E2484030
190,ARC-174908,Cylinder,COOPER-AJAX CYLINDER POWER 15 LEAN BURN COOPER-AJAX K7201E
191,ARC-191567,Sensor - Engine - Exhaust,BOSCH SENSOR OXYGEN 4 WIRE EMIT PANEL BOSCH 15703
192,ARC-234114,Compressor Valve - Suction,GEMINI VALVE COMPRESSOR CYLINDER SUCTION STL BODY GEMINI 425161
193,ARC-191935,Pump - Water,CATERPILLAR PUMP WATER G379/G398 OEM REBUILT CATERPILLAR 0R0804
194,ARC-238482,Gasket - Engine - Valve Cover,IPD GASKET VALVE COVER NON-ASBESTOS G3304 IPD 8S1606
195,ARC-215110,Engine Control Module,MURPHY CONTROL ENGINE EMISSIONS CONTROL ECM 6-CYL ENGINE G3306NA ECM EICS MURPHY 48700019
196,ARC-227095,O-Ring,CUMMINS O-RING
197,ARC-244603,Alternator,NIEHOFF ALTERNATOR 60A 24V
198,ARC-202265,Exhaust - Manifold,CATERPILLAR MANIFOLD EXHAUST FOR G3304 CATERPILLAR 9Y3637
